deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
아파트_매매,202605,11500,마곡동,1577,마곡나루경남아파트,84.29,8,1991,2026,5,19,93000,,,,,,,,중개거래,
아파트_매매,202605,11500,화곡동,351-89,중앙화곡하이츠,66.24,10,1988,2026,5,23,48000,,,,,,,,중개거래,
아파트_매매,202605,11500,마곡동,744,마곡엠밸리9단지,59.86,6,2021,2026,5,27,145000,,,,,,,,중개거래,
아파트_매매,202605,11500,방화동,860,마곡서광(치현마을),84.93,5,1998,2026,5,26,60000,,,,,,,,중개거래,
아파트_매매,202605,11500,마곡동,1589,마곡힐스테이트,84.98,2,2017,2026,5,30,166000,,,,,,,,중개거래,
아파트_매매,202605,11500,방화동,814,방화5,33.18,13,1994,2026,5,27,40000,,,,,,,,중개거래,
아파트_매매,202605,11500,화곡동,1165,강서힐스테이트,128.81,14,2015,2026,5,20,165000,,,,,,,,중개거래,
아파트_매매,202605,11500,방화동,895,동일스위트리버2차,59.03,5,2009,2026,5,27,59500,,,,,,,,중개거래,
아파트_매매,202605,11500,염창동,240-32,금호타운,84.84,7,1999,2026,5,30,104300,,,,,,,,중개거래,
아파트_매매,202605,11500,화곡동,1165,강서힐스테이트,128.81,6,2015,2026,5,16,140000,,,,,,,,직거래,
아파트_매매,202605,11500,가양동,1461,가양2단지(성지),39.6,5,1992,2026,5,26,79200,,,,,,,,중개거래,
아파트_매매,202605,11500,가양동,1485,가양6단지,58.65,13,1992,2026,5,29,116000,,,,,,,,중개거래,
아파트_매매,202605,11500,등촌동,637-22,대림아르빌아파트,84.6,1,2002,2026,5,18,43500,,,,,,,,직거래,
아파트_매매,202605,11500,방화동,880,치현마을동일스위트리버,84.9588,7,2004,2026,5,12,73500,,,,,,,,중개거래,
아파트_매매,202605,11500,내발산동,728,롯데1차,108.466,6,2002,2026,5,26,102000,,,,,,,,중개거래,
아파트_매매,202605,11500,방화동,860,마곡서광(치현마을),59.67,8,1998,2026,5,27,52000,,,,,,,,중개거래,
