deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
아파트_전월세,202606,11500,가양동,1485,가양6단지,39.6,1,1992,2026,6,27,,21990,0,,,,,,,
아파트_전월세,202606,11500,염창동,293,한강동아,84.96,16,1998,2026,6,23,,20000,173,,,,,,,
아파트_전월세,202606,11500,가양동,1475,강변,39.6,5,1992,2026,6,13,,25200,0,,,,,,,
아파트_전월세,202606,11500,화곡동,1173,우장산숲아이파크,59.9983,11,2022,2026,6,26,,40000,100,,,,,,,
아파트_전월세,202606,11500,등촌동,688,주공3,58.14,6,1995,2026,6,29,,31300,0,,,,,,,
아파트_전월세,202606,11500,화곡동,1159,"우장산아이파크,이편한세상",84.97,2,2008,2026,6,19,,85000,0,,,,,,,
아파트_전월세,202606,11500,가양동,1461,가양2단지(성지),39.6,3,1992,2026,6,25,,23000,0,,,,,,,
아파트_전월세,202606,11500,마곡동,716,한솔솔파크,79.24,9,2005,2026,6,27,,20000,129,,,,,,,
아파트_전월세,202606,11500,방화동,839,방화그린,49.77,13,1993,2026,6,21,,28000,0,,,,,,,
아파트_전월세,202606,11500,마곡동,748,마곡13단지힐스테이트마스터,59.9825,11,2017,2026,6,20,,10000,250,,,,,,,
아파트_전월세,202606,11500,염창동,270-1,태영,59.97,6,1999,2026,6,16,,45500,0,,,,,,,
아파트_전월세,202606,11500,가양동,1490,가양도시개발9-2단지,39.6,2,1993,2026,6,20,,36000,0,,,,,,,
아파트_전월세,202606,11500,등촌동,702,주공10,37.67,6,1995,2026,6,20,,22000,0,,,,,,,
아파트_전월세,202606,11500,염창동,240-1,강변월드메르디앙,84.8789,11,2010,2026,6,13,,40000,40,,,,,,,
아파트_전월세,202606,11500,내발산동,741,마곡수명산파크2단지,84.53,8,2007,2026,6,14,,65000,0,,,,,,,
아파트_전월세,202606,11500,염창동,271-4,염창2차보람,59.87,11,2005,2026,6,13,,47000,0,,,,,,,
아파트_전월세,202606,11500,마곡동,1181,마곡청구아파트,59.91,12,1998,2026,6,13,,45000,0,,,,,,,
아파트_전월세,202606,11500,화곡동,1159,"우장산아이파크,이편한세상",59.98,13,2008,2026,6,11,,67000,0,,,,,,,
아파트_전월세,202606,11500,화곡동,1011-6,희훈리치파크,84.64,10,2002,2026,6,13,,57750,0,,,,,,,
아파트_전월세,202606,11500,가양동,1461,가양2단지(성지),34.69,4,1992,2026,6,13,,24000,0,,,,,,,
아파트_전월세,202606,11500,방화동,814,방화5,49.77,10,1994,2026,6,10,,15000,70,,,,,,,
아파트_전월세,202606,11500,화곡동,351-89,중앙화곡하이츠,56.88,10,1988,2026,6,6,,28300,0,,,,,,,
아파트_전월세,202606,11500,마곡동,738,마곡엠밸리4단지,84.85,7,2014,2026,6,14,,59000,0,,,,,,,
아파트_전월세,202606,11500,등촌동,695,주공5,58.14,3,1995,2026,6,3,,45000,0,,,,,,,
아파트_전월세,202606,11500,염창동,258-1,동아3,59.7,17,1999,2026,6,3,,56000,0,,,,,,,
아파트_전월세,202606,11500,염창동,292,동아,59.97,11,1998,2026,6,3,,40000,70,,,,,,,
