deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
연립다세대_전월세,202605,11500,화곡동,379-36,남성아트빌,29.08,5,2016,2026,5,9,,19000,0,,,,,,,
연립다세대_전월세,202605,11500,공항동,8-5,헬리그라프마곡에디션,29.08,5,2024,2026,5,29,,30000,0,,,,,,,
연립다세대_전월세,202605,11500,방화동,249-190,JS뷰,19.74,6,2018,2026,5,4,,16630,0,,,,,,,
연립다세대_전월세,202605,11500,화곡동,160-10,대신빌라,45.42,1,1991,2026,5,20,,10000,0,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,내발산동,673-3,산울림,29.94,4,2010,2026,5,29,,1000,70,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,등촌동,506-19,명솔엠펠리스Ⅲ,43.56,5,2014,2026,5,26,,23000,20,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,화곡동,346-18,리치하우스(346-18),29.99,3,2017,2026,5,22,,2000,100,신규,26.06~28.06,,,,,
연립다세대_전월세,202605,11500,등촌동,653,세븐빌,29.76,5,2017,2026,5,29,,3000,80,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,염창동,264-3,서경팰리스,29.81,6,2016,2026,5,17,,22800,0,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,공항동,61-134,에클레시아빌,19.16,5,2026,2026,5,9,,0,88,신규,26.06~27.06,,,,,
연립다세대_전월세,202605,11500,화곡동,362-135,남경쉐르빌(362-135),55.71,3,2001,2026,5,26,,3000,75,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,화곡동,1042-8,삼익타운빌,29.96,5,2012,2026,5,26,,16000,0,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,화곡동,102-364,화성아트빌,37.39,1,2002,2026,5,30,,7600,32,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,화곡동,56-386,타워파크빌(56-386),48.56,2,2008,2026,5,13,,7000,55,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,화곡동,391-4,태건빌라,51.02,1,1991,2026,5,18,,15900,0,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,화곡동,423-14,남성아트빌(423-14),24.7,6,2014,2026,5,18,,14000,16,신규,26.08~28.08,,,,,
연립다세대_전월세,202605,11500,내발산동,671-22,제이에스해슬리,29.87,3,2024,2026,5,15,,29880,0,갱신,26.06~28.06,29880.0,,사용,,
연립다세대_전월세,202605,11500,화곡동,1037-26,"다솜타운A,B",35.87,4,2013,2026,5,25,,6000,110,신규,26.07~27.01,,,,,
연립다세대_전월세,202605,11500,화곡동,1037-26,"다솜타운A,B",35.87,4,2013,2026,5,25,,1000,110,신규,26.07~27.01,,,,,
연립다세대_전월세,202605,11500,화곡동,1011,"크로바타운1,2",54.74,1,2001,2026,5,30,,2000,180,신규,26.07~27.02,,,,,
연립다세대_전월세,202605,11500,화곡동,347-10,초원빌라(347-10),64.62,3,1994,2026,5,16,,3000,90,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,방화동,607-84,피렌체하우스(607-84),29.53,5,2015,2026,5,20,,1000,45,신규,26.06~27.05,,,,,
연립다세대_전월세,202605,11500,화곡동,338-10,338-10,21.91,6,2015,2026,5,25,,500,80,신규,26.06~27.06,,,,,
연립다세대_전월세,202605,11500,화곡동,869-1,리버캐슬,29.9,5,2019,2026,5,23,,18640,0,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,등촌동,365-7,예지움,30,3,2015,2026,5,22,,17500,9,갱신,26.07~28.07,17500.0,5.0,사용,,
연립다세대_전월세,202605,11500,화곡동,24-39,자하클래식,13.77,16,2018,2026,5,10,,5000,45,신규,26.07~27.07,,,,,
연립다세대_전월세,202605,11500,화곡동,160-10,대신빌라,45.42,1,1991,2026,5,20,,10000,0,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,공항동,655-10,(655-10),19.44,3,2014,2026,5,18,,500,47,신규,26.06~27.06,,,,,
연립다세대_전월세,202605,11500,공항동,655-10,(655-10),19.44,3,2014,2026,5,18,,500,49,신규,26.06~27.06,,,,,
연립다세대_전월세,202605,11500,화곡동,346-28,태양빌라(346-28),59.46,2,1993,2026,5,12,,17600,25,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,공항동,41-116,공항파크빌,29.64,2,2010,2026,5,8,,10000,16,갱신,26.07~28.07,4000.0,36.0,,,
연립다세대_전월세,202605,11500,화곡동,421-18,신성네오빌,29.45,4,2019,2026,5,29,,21600,0,갱신,26.07~28.07,23700.0,,,,
연립다세대_전월세,202605,11500,화곡동,847-7,한솔아트빌8차,66.94,5,2004,2026,5,18,,19500,0,신규,26.06~27.03,,,,,
연립다세대_전월세,202605,11500,화곡동,393-3,우성테마빌(393-3),52.8,5,2006,2026,5,1,,16000,0,신규,26.07~28.07,,,,,
연립다세대_전월세,202605,11500,화곡동,143-5,썬라인,29.91,8,2016,2026,5,13,,21800,0,갱신,26.06~28.06,21000.0,,,,
