deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
오피스텔_전월세,202608,11500,등촌동,634-10,투웨니퍼스트1차,29.74,11,,2026,8,3,,19500,30,,,,,,,
오피스텔_전월세,202608,11500,마곡동,760,마곡나루역보타닉푸르지오시티,22.17,3,2017,2026,8,5,,1000,67,갱신,26.09~27.09,3000.0,57.0,,,
오피스텔_전월세,202608,11500,등촌동,685,경동미르웰양천향교2차,29.68,4,2020,2026,8,6,,25600,0,갱신,26.09~28.09,25600.0,,사용,,
오피스텔_전월세,202608,11500,화곡동,343-66,(343-66),26.08,2,2004,2026,8,6,,12000,17,신규,26.09~28.09,,,,,
오피스텔_전월세,202608,11500,화곡동,921-6,화곡SJ라벨라,42.13,12,2022,2026,8,7,,5000,135,신규,26.09~27.09,,,,,
오피스텔_전월세,202608,11500,마곡동,739-2,우성르보아투,20.24,5,2015,2026,8,6,,10000,17,신규,26.08~27.08,,,,,
오피스텔_전월세,202608,11500,화곡동,1074-18,서부아파트,36,1,2002,2026,8,3,,11000,20,신규,26.08~28.08,,,,,
오피스텔_전월세,202608,11500,화곡동,934-1,더라인,19.92,11,2026,2026,8,7,,23800,0,신규,26.09~28.09,,,,,
오피스텔_전월세,202608,11500,마곡동,758-2,마곡일성트루엘플래닛,21.43,12,2016,2026,8,6,,1000,75,신규,26.08~27.08,,,,,
오피스텔_전월세,202608,11500,화곡동,938-9,늘예솔하우스,29.51,12,2020,2026,8,7,,21000,0,신규,26.09~28.09,,,,,
오피스텔_전월세,202608,11500,마곡동,776,마곡 파크뷰 대방디엠시티 오피스텔,21.02,11,2019,2026,8,6,,16500,13,갱신,26.08~27.08,16740.0,10.0,,,
오피스텔_전월세,202608,11500,화곡동,1111-3,경동엠파이어스테이트,18.61,18,2012,2026,8,7,,500,60,신규,26.09~27.09,,,,,
오피스텔_전월세,202608,11500,등촌동,828,(115-6),13.92,2,2020,2026,8,7,,14700,0,신규,26.08~28.08,,,,,
오피스텔_전월세,202608,11500,마곡동,797-14,힐스테이트에코마곡,23.75,6,2016,2026,8,3,,1000,85,신규,26.08~27.08,,,,,
