region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
마곡동,202607,아파트_전월세,마곡엠밸리8단지,마곡동,741,59.99,,35161,0,10,8,2016,갱신,26.08~28.07,33487.0,,,,
내발산동,202607,아파트_전월세,마곡수명산파크5단지,내발산동,749,49.93,,6669,11,2,7,2008,갱신,26.08~28.07,3754.0,28.0,,,
내발산동,202607,아파트_전월세,마곡수명산파크5단지,내발산동,749,59.84,,58000,0,5,7,2008,갱신,26.10~28.10,40000.0,,,,
마곡동,202607,아파트_전월세,마곡엠벨리(14단지),마곡동,750,84.93,,26038,0,8,7,2014,갱신,26.08~28.07,24799.0,,,,
마곡동,202607,아파트_전월세,마곡엠벨리(14단지),마곡동,750,84.85,,26038,0,14,7,2014,갱신,26.08~28.07,24799.0,,,,
화곡동,202606,오피스텔_전월세,(46-217),화곡동,46-217,29.7,,8500,27,2,8,1997,신규,26.07~28.07,,,,,
마곡동,202606,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,32.88,,2000,140,11,8,2017,신규,26.07~27.07,,,,,
화곡동,202606,오피스텔_전월세,강서구청 파크뷰 에버,화곡동,987-1,15.46,,12960,0,8,5,2020,신규,26.07~28.07,,,,,
등촌동,202608,오피스텔_전월세,투웨니퍼스트1차,등촌동,634-10,29.74,,19500,30,11,3,,,,,,,,
화곡동,202608,오피스텔_전월세,(402-4),화곡동,402-4,52.8,,14000,40,7,10,2000,신규,26.08~28.08,,,,,
화곡동,202608,오피스텔_전월세,더라인,화곡동,934-1,19.92,,23500,0,9,7,2026,신규,26.09~28.09,,,,,
마곡동,202608,오피스텔_전월세,마곡일성트루엘플래닛,마곡동,758-2,21.43,,500,64,10,12,2016,갱신,26.09~27.09,500.0,61.0,,,
화곡동,202608,오피스텔_전월세,리치아파트,화곡동,924-1,29.21,,20350,3,4,5,2018,신규,26.09~28.09,,,,,
