gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
중구,11140,묵정동,202608,오피스텔_전월세,충무로역 스위트엠,묵정동,32-5,18.57,,1000,93,7,20,2021,갱신,26.09~28.09,1000.0,89.0,,,
중구,11140,순화동,202608,오피스텔_전월세,덕수궁롯데캐슬,순화동,217,41.14,,2000,150,4,17,2016,신규,26.10~28.10,,,,,
중구,11140,순화동,202608,오피스텔_전월세,덕수궁롯데캐슬,순화동,217,41.14,,21000,51,4,17,2016,신규,26.11~28.11,,,,,
중구,11140,충무로5가,202608,오피스텔_전월세,충무로엘크루메트로시티2,충무로5가,36-2,23.03,,17100,0,6,21,2016,신규,26.10~28.09,,,,,
중구,11140,황학동,202608,오피스텔_전월세,힐스테이트 청계 센트럴,황학동,1229,48.62,,5000,240,8,20,2024,신규,26.09~28.02,,,,,
중구,11140,충무로2가,202608,오피스텔_전월세,명동 엠퍼스트플레이스,충무로2가,48-2,18.6,,500,100,11,10,2007,신규,26.08~27.08,,,,,
중구,11140,을지로5가,202608,오피스텔_전월세,을지로5가  오피스텔 신축공사,을지로5가,272-17,35.66,,3000,180,10,15,2023,신규,26.08~28.08,,,,,
중구,11140,중림동,202608,오피스텔_전월세,쌍용 더 플래티넘 서울역,중림동,363,17.56,,1000,120,22,19,2023,신규,26.09~27.09,,,,,
중구,11140,오장동,202608,오피스텔_전월세,남산 센트럴시티 투웨니퍼스트,오장동,148-16,18.39,,24000,0,14,20,2022,갱신,26.10~28.10,24000.0,,,,
중구,11140,신당동,202608,오피스텔_전월세,은수빌딩,신당동,120-1,20.19,,1000,78,5,10,2020,신규,26.10~28.10,,,,,
중구,11140,황학동,202608,오피스텔_전월세,메트하임 신당역 오피스텔,황학동,1074-2,40.47,,38000,0,7,19,2021,신규,26.09~28.09,,,,,
중구,11140,황학동,202608,오피스텔_전월세,신당 큐브스테이트,황학동,1173,22.8,,23100,0,16,20,2022,갱신,26.09~28.09,22050.0,,,,
중구,11140,흥인동,202608,오피스텔_전월세,(91),흥인동,91,24.35,,1000,75,7,15,2013,신규,26.08~27.08,,,,,
중구,11140,을지로5가,202608,오피스텔_전월세,을지로5가  오피스텔 신축공사,을지로5가,272-17,35.66,,25000,50,7,19,2023,신규,26.09~28.09,,,,,
중구,11140,충무로2가,202608,오피스텔_전월세,명동 엠퍼스트플레이스,충무로2가,48-2,18.6,,500,120,3,13,2007,신규,26.08~26.10,,,,,
중구,11140,오장동,202608,오피스텔_전월세,남산 센트럴시티 투웨니퍼스트,오장동,148-16,18.21,,20000,0,7,18,2022,신규,26.09~28.09,,,,,
중구,11140,황학동,202608,오피스텔_전월세,신당 큐브스테이트,황학동,1173,22.8,,23100,0,16,20,2022,갱신,26.09~28.09,22050.0,,,,
중구,11140,신당동,202608,오피스텔_전월세,(372-49),신당동,372-49,20.34,,21000,0,4,19,2021,신규,26.09~28.09,,,,,
중구,11140,신당동,202608,오피스텔_전월세,신당아르브,신당동,160-5,21.31,,14500,20,16,15,2014,신규,26.10~28.09,,,,,
중구,11140,신당동,202608,오피스텔_전월세,신당아르브,신당동,160-5,21.31,,1000,74,17,10,2014,갱신,26.09~27.09,1000.0,70.0,사용,,
중구,11140,황학동,202608,오피스텔_전월세,다베로,황학동,970,29.64,,33600,0,6,4,2021,갱신,26.10~28.10,32000.0,,사용,,
중구,11140,황학동,202608,오피스텔_전월세,힐스테이트 청계 센트럴,황학동,1229,48.62,,48000,0,16,14,2024,갱신,26.08~27.08,46000.0,,,,
중구,11140,신당동,202608,오피스텔_전월세,JK오피스텔,신당동,353-22,25.41,,12100,0,5,18,2004,신규,26.10~28.10,,,,,
중구,11140,황학동,202608,오피스텔_전월세,벨로하우스황학,황학동,1565,26.47,,18500,0,3,13,2018,신규,26.09~28.09,,,,,
