gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
용산구,11170,문배동,202608,오피스텔_전월세,용산 더힐 센트럴파크뷰,문배동,8-5,21.53,,30000,0,8,8,2022,,,,,,,
용산구,11170,한강로1가,202608,오피스텔_전월세,용산파크자이,한강로1가,50-1,37.26,,35000,0,27,21,2005,갱신,26.10~28.10,34000.0,,사용,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,28.62,,20000,85,14,12,2026,신규,26.08~27.08,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산씨제이나인파크,문배동,24-6,68.41,,4000,200,3,13,2007,신규,26.10~27.10,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,(2-9),문배동,2-9,15.41,,2000,69,7,20,2021,신규,27.02~27.08,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,(2-9),문배동,2-9,15.41,,2000,66,7,20,2021,신규,26.08~27.02,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,프라임펠리스,문배동,24-8,18.55,,1000,75,9,7,2012,신규,26.08~28.08,,,,,
용산구,11170,동자동,202608,오피스텔_전월세,트윈시티 남산,동자동,56,25.43,,2000,130,21,4,2015,신규,26.08~28.08,,,,,
용산구,11170,한강로3가,202608,오피스텔_전월세,지에스 한강에클라트,한강로3가,16-85,40.45,,1000,89,9,3,2006,갱신,26.08~27.08,1000.0,85.0,,,
용산구,11170,문배동,202608,오피스텔_전월세,지오베르크,문배동,17-1,51.92,,30000,0,3,8,2004,갱신,26.09~27.01,30000.0,,사용,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.37,,39000,0,9,18,2026,신규,26.08~28.08,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산KCC웰츠타워,문배동,11-10,29.97,,25900,0,6,18,2015,신규,26.09~28.09,,,,,
용산구,11170,이태원동,202608,오피스텔_전월세,한남파크뷰,이태원동,130-11,33.33,,30250,0,4,12,2020,신규,26.10~28.10,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산KCC웰츠타워,문배동,11-10,28.14,,1000,110,7,8,2015,갱신,26.08~27.08,1000.0,105.0,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,리버파크뷰,원효로2가,90-26,29.38,,30500,0,8,15,2024,갱신,26.09~28.09,29500.0,,사용,,
용산구,11170,한강로2가,202608,오피스텔_전월세,아스테리움 용산,한강로2가,419,49.66,,60000,0,21,18,2012,신규,26.10~28.09,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산큐브,문배동,24-4,17.46,,1000,76,9,18,2013,신규,26.10~27.10,,,,,
용산구,11170,서계동,202608,오피스텔_전월세,서울역풍림아이원플러스,서계동,219-17,28.11,,1000,100,10,1,2004,신규,26.08~27.08,,,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,28.62,,10000,120,4,15,2026,신규,26.09~28.09,,,,,
용산구,11170,동자동,202608,오피스텔_전월세,트윈시티 남산,동자동,56,27.42,,1000,135,2,14,2015,신규,26.09~27.09,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,아스테리움 용산,한강로2가,419,49.98,,65000,0,26,4,2012,신규,26.08~28.08,,,,,
용산구,11170,동자동,202608,오피스텔_전월세,트윈시티 남산,동자동,56,27.69,,1500,133,4,14,2015,신규,26.10~27.10,,,,,
용산구,11170,원효로3가,202608,오피스텔_전월세,용산 클라우드 나인 오피스텔,원효로3가,277-13,17.08,,20000,0,15,14,2021,신규,26.09~28.09,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,한강로벽산메가트리움,한강로2가,2-8,29.54,,27500,10,28,14,2005,신규,26.10~28.10,,,,,
용산구,11170,원효로1가,202608,오피스텔_전월세,용산투웨니퍼스트99,원효로1가,46-5,49.52,,5000,300,4,5,2023,신규,26.08~27.08,,,,,
용산구,11170,동자동,202608,오피스텔_전월세,트윈시티 남산,동자동,56,27.42,,1000,135,15,14,2015,신규,26.09~27.09,,,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.64,,42000,0,16,14,2026,신규,26.08~28.08,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산 리브,문배동,10-3,36.06,,32000,0,9,12,2017,신규,26.09~28.09,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산씨제이나인파크,문배동,24-6,44.43,,45000,8,3,4,2007,갱신,26.08~28.08,45000.0,,사용,,
용산구,11170,한강로2가,202608,오피스텔_전월세,용산푸르지오써밋,한강로2가,420,29.85,,36750,0,28,11,2017,갱신,26.08~28.08,35000.0,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산KCC웰츠타워,문배동,11-10,29.97,,20000,35,4,12,2015,신규,26.09~28.09,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산KCC웰츠타워,문배동,11-10,31.37,,27000,10,7,12,2015,신규,26.09~28.09,,,,,
용산구,11170,원효로1가,202608,오피스텔_전월세,오피스텔 채원,원효로1가,119-13,14.4,,1000,79,10,11,2021,갱신,26.09~27.09,1000.0,75.0,,,
용산구,11170,한강로1가,202608,오피스텔_전월세,용산파크자이,한강로1가,50-1,39.03,,20000,70,15,6,2005,신규,26.09~27.09,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,이안용산프리미어,문배동,3-3,24.78,,18000,15,3,6,2007,갱신,26.08~28.08,18800.0,,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.37,,5000,165,18,10,2026,신규,26.08~27.08,,,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.14,,3000,190,16,11,2026,신규,26.08~28.08,,,,,
용산구,11170,원효로3가,202608,오피스텔_전월세,용산파크뷰II,원효로3가,130-1,21.39,,18000,21,17,7,2020,신규,26.09~28.09,,,,,
용산구,11170,원효로3가,202608,오피스텔_전월세,월드메르디앙 용산,원효로3가,277-1,29.89,,36700,0,4,9,2024,갱신,26.10~28.10,35000.0,,,,
용산구,11170,원효로3가,202608,오피스텔_전월세,월드메르디앙 용산,원효로3가,277-1,29.89,,36750,0,4,10,2024,신규,26.10~28.10,,,,,
용산구,11170,동자동,202608,오피스텔_전월세,트윈시티 남산,동자동,56,21.51,,1000,115,20,10,2015,신규,26.09~27.08,,,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.64,,3000,180,6,11,2026,신규,26.08~27.08,,,,,
용산구,11170,동자동,202608,오피스텔_전월세,트윈시티 남산,동자동,56,29.61,,1000,157,14,10,2015,신규,26.08~27.08,,,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.14,,20000,95,10,10,2026,신규,26.09~28.09,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산KCC웰츠타워,문배동,11-10,38.1,,24000,50,6,8,2015,신규,26.10~28.10,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산 더힐 센트럴파크뷰,문배동,8-5,29.31,,38000,0,13,10,2022,신규,26.09~28.09,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산씨제이나인파크,문배동,24-6,70.92,,55000,0,5,8,2007,신규,26.10~28.10,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,래미안 용산 더 센트럴,한강로2가,422,47.65,,2000,231,8,10,,갱신,26.08~27.08,2000.0,220.0,사용,,
용산구,11170,문배동,202608,오피스텔_전월세,이안 용산1차,문배동,11-29,30.04,,21000,4,13,8,2005,갱신,26.10~28.10,21000.0,,사용,,
용산구,11170,원효로1가,202608,오피스텔_전월세,디아뜨 센트럴,원효로1가,112-4,37.17,,19000,30,10,8,2004,신규,26.09~28.09,,,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.96,,5000,165,4,7,2026,신규,26.08~28.08,,,,,
용산구,11170,한강로1가,202608,오피스텔_전월세,용산파크자이,한강로1가,50-1,39.03,,35000,0,35,8,2005,신규,26.09~28.09,,,,,
용산구,11170,원효로3가,202608,오피스텔_전월세,용산파크뷰II,원효로3가,130-1,21.6,,22000,0,9,3,2020,신규,26.09~28.09,,,,,
용산구,11170,한강로1가,202608,오피스텔_전월세,용산파크자이,한강로1가,50-1,37.26,,35700,0,24,5,2005,갱신,26.08~28.08,34000.0,,사용,,
용산구,11170,원효로2가,202608,오피스텔_전월세,리버파크뷰,원효로2가,90-26,37.99,,43000,0,11,8,2024,신규,26.10~28.10,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산 리브,문배동,10-3,42.25,,35000,0,9,8,2017,신규,26.10~28.10,,,,,
용산구,11170,동자동,202608,오피스텔_전월세,트윈시티 남산,동자동,56,27.43,,1000,138,24,6,2015,신규,26.08~27.08,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,한강로벽산메가트리움,한강로2가,2-8,32.15,,25200,10,12,7,2005,신규,26.09~28.09,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,아스테리움 용산,한강로2가,419,49.85,,4000,230,22,4,2012,신규,26.08~28.08,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,래미안 용산 더 센트럴,한강로2가,422,47.65,,54600,0,17,7,,신규,26.08~27.01,,,,,
용산구,11170,문배동,202608,오피스텔_전월세,용산큐브,문배동,24-4,17.46,,10000,45,3,5,2013,신규,26.09~28.09,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,한강로 대우아이빌,한강로2가,2-11,37.85,,10000,60,10,5,2004,신규,26.08~28.08,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,래미안 용산 더 센트럴,한강로2가,422,53,,2000,217,9,3,,갱신,26.08~27.08,2000.0,168.0,,,
용산구,11170,원효로2가,202608,오피스텔_전월세,에테르나인 용산,원효로2가,17,29.37,,38000,0,6,5,2026,신규,26.08~28.08,,,,,
용산구,11170,한강로2가,202608,오피스텔_전월세,래미안 용산 더 센트럴,한강로2가,422,42.5,,50000,0,16,4,,갱신,26.08~28.08,49000.0,,,,
