gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
성동구,11200,용답동,202608,오피스텔_전월세,k-타워,용답동,229-2,18.42,,3000,65,3,10,2021,,,,,,,
성동구,11200,홍익동,202608,오피스텔_전월세,뉴센트빌,홍익동,125-1,40.49,,20000,100,4,21,2018,신규,26.10~28.10,,,,,
성동구,11200,용답동,202608,오피스텔_전월세,(238-5),용답동,238-5,30.46,,9778,10,11,21,2021,갱신,26.09~28.08,9778.0,10.0,,,
성동구,11200,용답동,202608,오피스텔_전월세,(238-5),용답동,238-5,32.12,,6669,6,12,21,2021,갱신,26.09~28.08,2693.0,28.0,,,
성동구,11200,용답동,202608,오피스텔_전월세,시그너스,용답동,229-9,17.03,,500,78,8,21,2021,신규,26.08~27.08,,,,,
성동구,11200,용답동,202608,오피스텔_전월세,(238-5),용답동,238-5,30.46,,6071,6,11,21,2021,갱신,26.09~28.08,2523.0,26.0,,,
성동구,11200,마장동,202608,오피스텔_전월세,고운타워,마장동,474-5,23.8,,500,50,4,6,2010,신규,26.09~28.09,,,,,
성동구,11200,행당동,202608,오피스텔_전월세,다온오피스텔,행당동,286-26,26.98,,25000,17,2,21,2024,신규,26.09~28.09,,,,,
성동구,11200,도선동,202608,오피스텔_전월세,왕십리렉스프리미엄오피스텔,도선동,257,18.63,,21000,14,18,8,2020,갱신,26.10~28.10,21000.0,10.0,사용,,
성동구,11200,용답동,202608,오피스텔_전월세,(238-5),용답동,238-5,30.46,,2419,25,5,21,2021,갱신,26.09~28.08,105.0,30.0,,,
성동구,11200,용답동,202608,오피스텔_전월세,(238-5),용답동,238-5,30.46,,967,28,3,20,2021,갱신,26.09~28.08,2419.0,25.0,,,
성동구,11200,용답동,202608,오피스텔_전월세,서희스타힐스리버파크,용답동,238-12,20.21,,12000,20,4,19,2016,신규,26.09~28.09,,,,,
성동구,11200,하왕십리동,202608,오피스텔_전월세,센트라스,하왕십리동,1070,32.53,,1000,135,15,15,2016,신규,26.10~27.10,,,,,
성동구,11200,행당동,202608,오피스텔_전월세,왕십리 큐브스테이트,행당동,286-25,16.66,,15500,15,7,20,2018,신규,26.10~28.10,,,,,
