gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
광진구,11215,구의동,202608,오피스텔_전월세,웰츠타워,구의동,252-16,26.33,,1000,95,13,10,2015,신규,26.08~27.08,,,,,
광진구,11215,중곡동,202608,오피스텔_전월세,정익제이타워2차,중곡동,639-6,15.93,,1000,90,10,3,2020,신규,26.08~27.08,,,,,
광진구,11215,군자동,202608,오피스텔_전월세,스테이 더 디자이너스 군자,군자동,473-21,17.33,,17000,15,10,8,2020,신규,26.08~28.08,,,,,
광진구,11215,자양동,202608,오피스텔_전월세,타워더모스트광진아크로텔,자양동,779,31.1,,1000,130,7,12,2014,신규,26.09~27.09,,,,,
광진구,11215,화양동,202608,오피스텔_전월세,화양 디펠리체,화양동,18-9,20.45,,10000,43,15,8,2019,신규,26.09~28.09,,,,,
광진구,11215,화양동,202608,오피스텔_전월세,하이뷰오피스텔,화양동,193,18.43,,22000,10,10,18,2020,신규,26.10~28.10,,,,,
광진구,11215,화양동,202608,오피스텔_전월세,까사펠리즈 화양,화양동,23-37,24.45,,2000,130,4,17,2025,신규,26.08~27.08,,,,,
광진구,11215,구의동,202608,오피스텔_전월세,아델리아 구의타워,구의동,251-157,18.74,,1000,67,8,1,2010,신규,26.08~27.08,,,,,
광진구,11215,중곡동,202608,오피스텔_전월세,JS더빌,중곡동,158-8,16.74,,12000,0,5,19,2009,신규,26.09~28.09,,,,,
광진구,11215,구의동,202608,오피스텔_전월세,다성리버텔,구의동,218-12,33.97,,1000,85,9,19,2002,신규,26.09~28.09,,,,,
광진구,11215,중곡동,202608,오피스텔_전월세,정익제이타워2차,중곡동,639-6,15.93,,1000,95,3,3,2020,신규,26.08~28.08,,,,,
광진구,11215,구의동,202608,오피스텔_전월세,크레신타워3차,구의동,246-14,25.35,,1000,80,13,8,2006,신규,26.09~27.09,,,,,
광진구,11215,구의동,202608,오피스텔_전월세,구의동 홀가하우스,구의동,80-29,21.37,,2000,110,4,3,2020,신규,26.08~28.08,,,,,
광진구,11215,중곡동,202608,오피스텔_전월세,정익제이타워2차,중곡동,639-6,15.93,,1000,90,4,18,2020,갱신,26.09~27.09,1000.0,83.0,사용,,
광진구,11215,중곡동,202608,오피스텔_전월세,정익제이타워2차,중곡동,639-6,15.93,,3000,85,13,5,2020,신규,26.08~27.08,,,,,
