gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
동대문구,11230,장안동,202608,오피스텔_전월세,두리빌딩,장안동,295-1,36.08,,15750,0,6,5,2009,,,,,,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,1000,120,14,21,2023,신규,26.08~27.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,청계 다우아트리체,용두동,255-71,17.23,,1000,86,5,5,2019,신규,26.09~27.09,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,바인르미에르,용두동,130-4,39.78,,5000,115,11,15,2017,신규,26.08~27.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,힐스테이트 청량리 메트로블,용두동,799,32.42,,33500,0,25,19,2025,신규,26.09~28.09,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,답십리역 지웰에스테이트,답십리동,493-1,59.92,,49350,0,13,21,2024,갱신,26.08~28.08,47000.0,,사용,,
동대문구,11230,신설동,202608,오피스텔_전월세,더 플레이스 위 동대문,신설동,89-38,52.25,,7000,0,13,19,2023,신규,26.08~26.09,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,힐스테이트 청량리 더퍼스트,전농동,620-56,56.79,,1500,360,18,21,2023,신규,26.08~28.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,동대문한양아이클래스,용두동,112-8,18.48,,1000,66,18,10,2014,갱신,26.08~27.08,1000.0,63.0,,,
동대문구,11230,회기동,202608,오피스텔_전월세,(57-11),회기동,57-11,12.8,,1000,83,6,4,2017,신규,26.08~28.08,,,,,
동대문구,11230,신설동,202608,오피스텔_전월세,청광플러스원 청계Ⅱ,신설동,100-2,19.75,,18500,0,5,19,2021,신규,26.10~28.10,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,보광타워,답십리동,530-4,17.51,,13700,0,7,20,2019,신규,26.10~28.10,,,,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,1000,120,15,18,2023,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,힐스테이트 장안 라보니타,장안동,364-1,74.26,,5000,200,6,19,2025,신규,26.09~28.09,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,힐스테이트 장안 라보니타,장안동,364-1,74.26,,5000,200,2,20,2025,신규,26.09~28.09,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,전농동복합시설(청량리역DUO196),전농동,597-11,19.99,,3000,65,4,15,2015,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,스타파크,장안동,364-10,40.94,,25490,20,2,19,2018,갱신,26.09~28.09,25100.0,16.0,,,
동대문구,11230,이문동,202608,오피스텔_전월세,디크라쎄,이문동,255-192,17.21,,10000,15,8,11,2019,신규,26.08~27.01,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,창보리버리치,용두동,255-58,20.46,,1000,90,9,8,2019,신규,26.09~27.09,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,리베르떼,전농동,597-5,26.56,,1000,95,6,20,2019,신규,26.08~27.08,,,,,
동대문구,11230,휘경동,202608,오피스텔_전월세,캠퍼스드림오피스텔,휘경동,336-32,21.29,,1000,105,4,18,2020,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,양우 내안애 애플,장안동,373-1,18.64,,1000,60,16,20,2014,신규,26.08~27.08,,,,,
동대문구,11230,이문동,202608,오피스텔_전월세,다성이즈빌,이문동,255-22,17.64,,3000,35,4,20,2013,신규,26.08~27.08,,,,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,1000,115,10,19,2023,신규,26.08~27.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,청계 한양아이클래스,용두동,255-49,18.35,,16500,20,14,19,2019,신규,26.09~28.09,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,(130-12),용두동,130-12,16.65,,9700,3,8,18,2017,신규,26.11~28.11,,,,,
동대문구,11230,신설동,202608,오피스텔_전월세,동은컴페니언오피스텔,신설동,89-53,22.44,,500,55,2,3,2003,신규,26.08~27.08,,,,,
동대문구,11230,신설동,202608,오피스텔_전월세,청광플러스원 청계Ⅱ,신설동,100-2,17.76,,17000,0,8,17,2021,신규,26.09~28.09,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,동대문 베네스트,용두동,100-5,22.86,,18450,17,6,20,2020,신규,26.09~28.09,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,답십리역 지웰에스테이트,답십리동,493-1,59.81,,56000,0,16,19,2024,신규,26.10~28.10,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리 창보리버리치Ⅲ,전농동,620-20,63.46,,2000,189,15,10,2022,갱신,26.08~27.08,2000.0,180.0,사용,,
동대문구,11230,용두동,202608,오피스텔_전월세,랜드마크타워1,용두동,100-1,30.47,,5000,45,9,13,2004,갱신,26.08~27.08,5000.0,43.0,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,답십리역 지웰에스테이트,답십리동,493-1,59.92,,10000,164,9,11,2024,갱신,26.08~28.08,10000.0,155.0,사용,,
동대문구,11230,전농동,202608,오피스텔_전월세,다스하우스,전농동,100-1,14.47,,9800,9,9,17,2018,신규,26.09~28.09,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,동대문 푸르지오시티,용두동,104-3,23.47,,1000,90,7,12,,신규,26.08~27.08,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,젠트리움,답십리동,497-9,15.67,,1000,80,8,7,2020,신규,26.08~27.08,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,스테이 하이 오피스텔,전농동,602-23,29.71,,31000,0,11,3,2024,갱신,26.08~27.08,29800.0,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,케이타워,장안동,365-9,18.84,,17500,0,4,18,2020,신규,26.09~28.09,,,,,
동대문구,11230,제기동,202608,오피스텔_전월세,(67-241),제기동,67-241,15.36,,500,58,4,8,2005,신규,26.08~27.08,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리 창보 리버리치2,전농동,620-4,19.74,,1000,90,10,1,2021,신규,26.08~27.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,동대문 푸르지오시티,용두동,104-3,23.47,,1000,90,11,1,,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,장안동 썬앤빌 시그니처,장안동,345-7,29.06,,21690,10,9,8,2022,갱신,26.09~28.09,22000.0,5.0,,,
동대문구,11230,장안동,202608,오피스텔_전월세,신부파스칼텔,장안동,431-5,22.7,,500,55,7,13,2003,신규,26.08~27.08,,,,,
동대문구,11230,제기동,202608,오피스텔_전월세,제기동오피스텔(유니텔),제기동,1158-48,23.94,,1000,63,12,17,2002,갱신,26.08~27.08,1000.0,60.0,사용,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,1000,120,9,15,2023,신규,26.08~27.08,,,,,
동대문구,11230,이문동,202608,오피스텔_전월세,(257-18),이문동,257-18,21.54,,1000,47,7,18,2003,신규,26.08~27.08,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리 창보리버리치 1차,전농동,620-27,43.53,,30000,30,13,14,2020,신규,26.10~28.10,,,,,
동대문구,11230,신설동,202608,오피스텔_전월세,신설동 지웰홈스,신설동,117-9,17.92,,500,67,3,3,2017,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,양우 내안애 애플,장안동,373-1,18.64,,500,65,10,4,2014,신규,26.08~27.08,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,청계 푸르지오시티,답십리동,497-23,20.62,,1000,60,4,8,2015,신규,26.08~27.08,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,메트로팰리스,답십리동,498-5,20.22,,1000,48,13,8,2005,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,장안 보니타오피스텔,장안동,415-8,25.73,,25000,0,3,14,2021,갱신,26.09~28.09,23400.0,10.0,,,
동대문구,11230,제기동,202608,오피스텔_전월세,메트로폴 스위트,제기동,1158-50,29.79,,29500,5,9,15,2021,갱신,26.08~27.08,29500.0,,사용,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리 창보 리버리치2,전농동,620-4,41.86,,5000,150,9,15,2021,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,글로벌팰리스,장안동,415-10,31.52,,24000,0,5,7,2019,갱신,26.08~28.08,23700.0,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,답십리역 지웰에스테이트,답십리동,493-1,59.81,,55000,0,9,17,2024,신규,26.10~28.10,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,가우디트윈캐슬1,장안동,374-9,53.22,,26000,40,3,14,2016,신규,26.10~28.10,,,,,
동대문구,11230,이문동,202608,오피스텔_전월세,세진빌딩,이문동,327-7,16.05,,2000,52,4,16,2020,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,힐스테이트 장안 센트럴,장안동,366-7,78.38,,63000,0,15,13,2024,신규,26.11~28.11,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,힐스테이트 장안 라보니타,장안동,364-1,74.26,,5000,210,10,13,2025,신규,26.10~28.10,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,샤론인텔리안,장안동,417-2,51.13,,26000,0,2,12,,신규,26.10~28.10,,,,,
동대문구,11230,신설동,202608,오피스텔_전월세,동광동대문베르빌,신설동,97-8,28.31,,1000,85,2,3,2004,신규,26.08~27.08,,,,,
동대문구,11230,휘경동,202608,오피스텔_전월세,이문휘경 지웰에스테이트,휘경동,377,17.45,,16000,0,10,1,2021,신규,26.08~28.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,바인르미에르,용두동,130-4,29.01,,1000,109,12,6,2017,신규,26.09~26.12,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,우민에뜨와르오피스텔,장안동,381-1,34.95,,12000,0,9,14,2009,신규,26.10~28.10,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,한성아펠시티,답십리동,530-17,22.14,,4000,74,11,8,2019,신규,26.08~28.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,힐스테이트 장안 센트럴,장안동,366-7,59.04,,20000,150,20,14,2024,신규,26.09~28.09,,,,,
동대문구,11230,이문동,202608,오피스텔_전월세,민족통일 대통령 리빙텔,이문동,325-20,22.14,,500,73,5,7,2004,신규,26.08~27.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,랜드마크타워1,용두동,100-1,30.47,,1000,66,18,1,2004,갱신,26.08~27.08,1000.0,63.0,,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리 창보리버리치Ⅲ,전농동,620-20,18.62,,22000,0,12,13,2022,신규,26.08~28.08,,,,,
동대문구,11230,이문동,202608,오피스텔_전월세,리엘하임,이문동,346-40,37.37,,3000,150,2,12,2023,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,신부파스칼텔,장안동,431-5,22.98,,8000,0,2,13,2003,신규,26.10~28.10,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,한성아펠시티,답십리동,530-17,22.14,,2000,90,11,8,2019,신규,26.09~28.09,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리역 롯데캐슬 Sky-L65,전농동,620-47,26.2,,1000,150,40,13,2023,신규,26.08~27.09,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,청계 한양아이클래스,용두동,255-49,18.35,,12000,40,14,11,2019,신규,26.09~28.09,,,,,
동대문구,11230,이문동,202608,오피스텔_전월세,오피스55,이문동,288-28,13.41,,10000,10,2,11,2013,신규,26.09~28.09,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,스타파크,장안동,364-10,40.94,,25750,20,3,12,2018,신규,26.09~28.09,,,,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,5000,90,15,1,2023,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,더아모르,장안동,342-8,26.53,,23000,0,10,12,2023,신규,26.08~28.08,,,,,
동대문구,11230,답십리동,202608,오피스텔_전월세,한성아펠시티,답십리동,530-17,22.14,,500,95,3,12,2019,신규,26.08~28.08,,,,,
동대문구,11230,이문동,202608,오피스텔_전월세,민족통일 대통령 리빙텔,이문동,325-20,22.14,,500,63,9,1,2004,신규,26.08~27.07,,,,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,21690,0,16,7,2023,신규,26.08~28.06,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,창보리버리치,용두동,255-58,20.46,,2000,85,4,3,2019,신규,26.08~27.08,,,,,
동대문구,11230,장안동,202608,오피스텔_전월세,성우스타팰리스,장안동,466-4,40.86,,26000,0,5,11,2019,신규,26.09~28.09,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리역 롯데캐슬 Sky-L65,전농동,620-47,24.31,,1000,100,36,8,2023,신규,26.08~27.08,,,,,
동대문구,11230,제기동,202608,오피스텔_전월세,메트로폴 스위트,제기동,1158-50,29.81,,26400,0,16,11,2021,신규,26.09~27.09,,,,,
동대문구,11230,전농동,202608,오피스텔_전월세,청량리역 롯데캐슬 Sky-L65,전농동,620-47,24.06,,1000,125,42,11,2023,신규,26.08~27.08,,,,,
동대문구,11230,용두동,202608,오피스텔_전월세,한방천하-용두동 포스빌,용두동,788,39.02,,500,75,9,5,2006,신규,26.08~27.07,,,,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,5000,77,15,4,2023,신규,26.08~27.08,,,,,
동대문구,11230,청량리동,202608,오피스텔_전월세,힐스테이트 청량리역,청량리동,235-6,21.2,,1000,105,13,8,2023,신규,26.08~27.08,,,,,
