gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
중랑구,11260,망우동,202608,오피스텔_전월세,신내역 프라디움 더 테라스,망우동,584,84.99,,47000,0,25,21,2023,갱신,26.10~28.10,45000.0,,사용,,
중랑구,11260,면목동,202608,오피스텔_전월세,대우오피스텔,면목동,72-36,18.97,,5000,20,6,6,2009,신규,26.08~28.08,,,,,
중랑구,11260,망우동,202608,오피스텔_전월세,신내역 프라디움 더 테라스,망우동,584,84.52,,40000,18,14,20,2023,갱신,26.08~28.08,40000.0,10.0,사용,,
중랑구,11260,상봉동,202608,오피스텔_전월세,한일써너스빌,상봉동,81-5,37.56,,15500,10,24,18,2003,신규,26.09~28.09,,,,,
중랑구,11260,면목동,202608,오피스텔_전월세,건원 베스트원,면목동,105-4,29.96,,18000,0,4,19,2015,신규,26.11~28.11,,,,,
중랑구,11260,면목동,202608,오피스텔_전월세,주함해븐타워 원(면목동),면목동,1541,18.04,,16500,6,13,20,2020,신규,26.10~28.10,,,,,
중랑구,11260,상봉동,202608,오피스텔_전월세,(129-26),상봉동,129-26,27.08,,5000,70,6,19,2021,신규,26.09~28.09,,,,,
중랑구,11260,상봉동,202608,오피스텔_전월세,위버루체 정진,상봉동,89,17.52,,1000,100,4,1,2024,갱신,26.09~27.09,1000.0,100.0,,,
중랑구,11260,망우동,202608,오피스텔_전월세,삼부,망우동,564-5,21.55,,16254,0,10,19,2021,신규,26.09~28.09,,,,,
중랑구,11260,중화동,202608,오피스텔_전월세,중화동 범양프레체,중화동,208-4,22.21,,1000,60,3,18,2012,신규,26.09~28.09,,,,,
중랑구,11260,망우동,202608,오피스텔_전월세,효성 써너스빌 에코,망우동,508-2,18.5,,500,55,19,6,2016,신규,26.08~27.08,,,,,
중랑구,11260,상봉동,202608,오피스텔_전월세,동일캐슬,상봉동,107-31,25.56,,20790,0,5,17,2020,갱신,26.10~28.10,19800.0,,,,
중랑구,11260,망우동,202608,오피스텔_전월세,효성 써너스빌 에코,망우동,508-2,18.5,,500,65,18,15,2016,신규,26.08~27.08,,,,,
중랑구,11260,상봉동,202608,오피스텔_전월세,Major Officetel,상봉동,104-70,18.8,,13000,30,2,12,2018,신규,26.09~28.09,,,,,
중랑구,11260,신내동,202608,오피스텔_전월세,베네스트로프트(BENEST LOFT),신내동,835,27.79,,19500,0,17,13,2021,갱신,26.10~28.10,19500.0,,사용,,
중랑구,11260,망우동,202608,오피스텔_전월세,삼부,망우동,564-5,21.55,,13000,11,14,12,2021,신규,26.08~28.08,,,,,
중랑구,11260,망우동,202608,오피스텔_전월세,삼부,망우동,564-5,21.55,,15836,0,17,10,2021,신규,26.08~28.08,,,,,
중랑구,11260,신내동,202608,오피스텔_전월세,베네스트로프트(BENEST LOFT),신내동,835,33.88,,25725,0,17,11,2021,갱신,26.10~28.08,24500.0,,,,
중랑구,11260,상봉동,202608,오피스텔_전월세,시네마시티,상봉동,92-2,16.8,,6000,0,10,11,2000,신규,26.08~28.08,,,,,
중랑구,11260,상봉동,202608,오피스텔_전월세,리더스,상봉동,104-10,19.32,,15500,20,3,7,2019,신규,26.09~28.09,,,,,
