gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
강북구,11305,미아동,202608,오피스텔_전월세,그랜드파크,미아동,160-14,18.48,,14400,0,5,21,2020,신규,26.10~28.10,,,,,
강북구,11305,수유동,202608,오피스텔_전월세,시티앤플랫폼,수유동,229-18,15.97,,17000,0,15,11,2023,갱신,26.08~28.08,17000.0,,,,
강북구,11305,미아동,202608,오피스텔_전월세,그랜드파크,미아동,160-14,14.92,,500,70,16,2,2020,신규,26.08~28.08,,,,,
강북구,11305,번동,202608,오피스텔_전월세,포르텔오피스텔,번동,417-6,44.76,,1000,95,4,1,2004,신규,26.08~28.08,,,,,
강북구,11305,미아동,202608,오피스텔_전월세,수유역푸르지오시티,미아동,160-3,22.43,,1000,70,12,19,2014,신규,26.08~27.08,,,,,
강북구,11305,미아동,202608,오피스텔_전월세,그랜드파크,미아동,160-14,18.48,,14400,0,12,13,2020,신규,26.09~28.09,,,,,
강북구,11305,미아동,202608,오피스텔_전월세,수유역푸르지오시티,미아동,160-3,22.43,,12000,22,12,8,2014,갱신,26.10~28.10,12000.0,20.0,사용,,
강북구,11305,미아동,202608,오피스텔_전월세,그랜드파크,미아동,160-14,18.48,,14400,9,8,11,2020,갱신,26.09~28.09,16000.0,,,,
강북구,11305,번동,202608,오피스텔_전월세,포르텔오피스텔,번동,417-6,25.6,,1000,65,12,6,2004,신규,26.08~28.08,,,,,
강북구,11305,수유동,202608,오피스텔_전월세,시티앤플랫폼,수유동,229-18,16.08,,1000,90,5,17,2023,신규,26.08~27.08,,,,,
강북구,11305,수유동,202608,오피스텔_전월세,어반빌리움 수유,수유동,92-8,17.01,,100,90,6,18,2021,신규,26.08~26.11,,,,,
강북구,11305,미아동,202608,오피스텔_전월세,그랜드파크,미아동,160-14,16.78,,1000,70,18,10,2020,갱신,26.09~27.09,1000.0,70.0,사용,,
강북구,11305,미아동,202608,오피스텔_전월세,아르테가 수유역,미아동,160-26,26.83,,1000,140,7,13,,신규,26.08~27.08,,,,,
강북구,11305,미아동,202608,오피스텔_전월세,아르테가 수유역,미아동,160-26,26.67,,1000,135,4,13,,갱신,26.09~27.09,1000.0,125.0,,,
