gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
도봉구,11320,창동,202608,오피스텔_전월세,미래하이츠,창동,585-148,59.99,,30080,0,4,6,2025,,,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,북한산 드림시티,창동,623-48,29.89,,21000,0,8,17,2020,신규,26.11~28.11,,,,,
도봉구,11320,방학동,202608,오피스텔_전월세,방학신화 하니엘시티,방학동,711-1,15.67,,500,62,4,10,2021,신규,26.08~27.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 SR스타빌,창동,135-28,28.5,,500,60,7,10,2003,신규,26.08~28.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,라르플레이스2단지,창동,749-15,29.16,,1000,80,9,20,2019,갱신,26.10~28.10,1000.0,75.0,,,
도봉구,11320,방학동,202608,오피스텔_전월세,북한산현대렉시온오피스텔,방학동,719-2,32.1,,500,70,3,10,2004,신규,26.08~27.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,하이팰리스,창동,630-16,52.25,,32550,0,6,20,2024,갱신,26.10~28.10,31000.0,,사용,,
도봉구,11320,방학동,202608,오피스텔_전월세,북한산현대렉시온오피스텔,방학동,719-2,32.1,,500,75,9,13,2004,신규,26.08~27.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,라르플레이스1단지,창동,749-14,26.34,,17500,0,3,12,2020,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 더큐브 아레나,창동,13-1,42.86,,33000,0,15,14,2024,신규,26.08~28.08,,,,,
도봉구,11320,방학동,202608,오피스텔_전월세,이안 테라디움 방학역,방학동,707,17.86,,1000,58,4,1,2021,갱신,26.08~27.08,1000.0,55.0,,,
도봉구,11320,방학동,202608,오피스텔_전월세,방학신화 하니엘시티,방학동,711-1,15.67,,11200,20,3,8,2021,신규,26.10~28.09,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,힐스테이트 도봉역 웰가,도봉동,63,74.14,,47000,0,11,18,2023,신규,26.11~28.11,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,도봉 엠블렘,도봉동,62-1,18.96,,9000,0,11,16,2018,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,미래하이츠,창동,585-148,59.99,,31520,0,10,6,2025,신규,26.08~28.12,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,플러스 오피스텔,창동,181-46,41.18,,1000,50,4,13,2003,갱신,26.10~27.10,1000.0,50.0,사용,,
도봉구,11320,도봉동,202608,오피스텔_전월세,(632-1),도봉동,632-1,36.09,,12000,20,3,8,2016,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 SR스타빌,창동,135-28,28.5,,500,60,9,11,2003,신규,26.08~27.08,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,도봉 엠블렘,도봉동,62-1,18.96,,500,55,7,3,2018,갱신,26.08~27.08,500.0,54.0,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,힐스테이트 도봉역 웰가,도봉동,63,59.62,,40000,0,4,13,2023,신규,26.10~28.10,,,,,
도봉구,11320,방학동,202608,오피스텔_전월세,이안 테라디움 방학역,방학동,707,17.86,,13000,0,9,13,2021,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,한원힐트리움_NK,창동,607-8,33.11,,2000,90,6,13,2022,갱신,26.11~28.11,2000.0,85.0,,,
도봉구,11320,창동,202608,오피스텔_전월세,북한산 드림시티,창동,623-48,29.89,,3000,95,12,12,2020,신규,26.08~28.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,라르플레이스1단지,창동,749-14,28.75,,1000,78,9,12,2020,신규,26.08~28.08,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,도봉 투웨니퍼스트 1단지,도봉동,62-3,29.66,,1000,90,10,12,2017,신규,26.08~28.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,북한산현대홈시티,창동,624-1,60.97,,27300,0,2,11,2005,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,하이팰리스,창동,630-16,47.48,,31395,0,8,7,2024,갱신,26.10~28.10,29900.0,,사용,,
도봉구,11320,방학동,202608,오피스텔_전월세,방학신화 하니엘시티,방학동,711-1,15.67,,13500,0,16,10,2021,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,노블캐슬오피스텔,창동,621-4,26.46,,8500,0,8,4,2003,신규,26.08~28.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 SR스타빌,창동,135-28,33.75,,500,65,8,10,2003,신규,26.09~27.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,라르플레이스2단지,창동,749-15,29.16,,17400,0,8,1,2019,신규,26.09~28.09,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,도봉 투웨니퍼스트 1단지,도봉동,62-3,29.66,,16800,3,2,11,2017,갱신,26.08~28.08,16800.0,,사용,,
도봉구,11320,창동,202608,오피스텔_전월세,EQ빌딩,창동,13-2,25.83,,500,55,10,6,2004,신규,26.08~27.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,애스테이2차,창동,296-9,59.17,,27000,0,4,10,2022,신규,26.10~28.10,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,미래하이츠,창동,585-148,59.99,,30800,0,5,6,2025,신규,26.08~28.12,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,힐스테이트 도봉역 웰가,도봉동,63,84.84,,50000,0,10,10,2023,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 노빌리티 캐슬 (Nobility Castle),창동,628-15,29.91,,24100,0,10,10,2022,갱신,26.10~28.10,23500.0,,사용,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 투웨니퍼스트,창동,630-5,29.26,,2000,80,3,7,2017,신규,26.08~28.08,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,도봉 투웨니퍼스트 2단지,도봉동,62-43,29.66,,1500,90,11,6,,신규,26.08~27.08,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,북한산 드림시티,창동,623-48,29.89,,15000,35,4,5,2020,갱신,26.08~27.08,15000.0,30.0,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,도봉 투웨니퍼스트 1단지,도봉동,62-3,29.66,,1000,85,10,6,2017,갱신,26.08~28.08,1000.0,70.0,,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 북한산드림시티 2차,창동,630-10,28.05,,22000,0,8,6,2020,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,오피스텔_전월세,창동 노빌리티 캐슬 (Nobility Castle),창동,628-15,29.91,,24000,0,5,5,2022,갱신,26.09~28.09,23000.0,,사용,,
도봉구,11320,창동,202608,오피스텔_전월세,북한산 드림시티,창동,623-48,29.89,,21000,15,11,5,2020,신규,26.09~28.09,,,,,
도봉구,11320,도봉동,202608,오피스텔_전월세,도봉 투웨니퍼스트 1단지,도봉동,62-3,29.66,,16500,0,11,2,2017,갱신,26.08~28.08,16800.0,,,,
도봉구,11320,창동,202608,오피스텔_전월세,한원힐트리움_NK,창동,607-8,33.7,,3000,105,5,3,2022,신규,26.09~28.09,,,,,
도봉구,11320,쌍문동,202608,연립다세대_전월세,우이그린빌라,쌍문동,486-18,64.8,,15000,0,1,19,1986,갱신,26.11~29.02,15000.0,,사용,,
도봉구,11320,창동,202608,연립다세대_전월세,신창빌라,창동,630-29,40.8,,1000,53,3,21,1991,신규,26.08~28.08,,,,,
도봉구,11320,쌍문동,202608,연립다세대_전월세,미래빌라(74-7),쌍문동,74-7,42.36,,3000,30,1,21,1990,신규,26.08~28.08,,,,,
도봉구,11320,쌍문동,202608,연립다세대_전월세,(460-50),쌍문동,460-50,18.65,,4000,24,3,21,2023,신규,26.09~28.09,,,,,
도봉구,11320,쌍문동,202608,연립다세대_전월세,다드림9차(A동),쌍문동,735,72.86,,1269,37,2,19,2022,신규,26.09~28.11,,,,,
도봉구,11320,방학동,202608,연립다세대_전월세,더존하우스,방학동,608-10,28.9,,8000,0,2,18,2011,신규,26.10~28.10,,,,,
도봉구,11320,창동,202608,연립다세대_전월세,가인,창동,520-3,32.47,,23000,8,4,18,2022,갱신,26.09~28.09,23000.0,8.0,,,
도봉구,11320,창동,202608,연립다세대_전월세,가인,창동,520-3,32.47,,23000,8,4,21,2022,갱신,26.09~28.09,23000.0,8.0,,,
도봉구,11320,쌍문동,202608,연립다세대_전월세,다드림11차(B동),쌍문동,737,77.52,,1540,45,2,19,2022,신규,26.09~28.11,,,,,
도봉구,11320,방학동,202608,연립다세대_전월세,라곰311,방학동,622-30,29.79,,19500,0,5,15,2023,신규,26.09~28.09,,,,,
도봉구,11320,창동,202608,연립다세대_전월세,창동아우르네,창동,1-8,16.0078,,3456,14,4,21,2020,신규,26.09~28.10,,,,,
도봉구,11320,창동,202608,연립다세대_전월세,현진스위트빌,창동,241-11,54.77,,3757,39,6,20,2026,신규,26.09~28.11,,,,,
도봉구,11320,창동,202608,연립다세대_전월세,현진스위트빌,창동,241-11,59.6,,6888,71,2,20,2026,신규,26.09~28.11,,,,,
