gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
은평구,11380,진관동,202608,오피스텔_전월세,아이파크 포레스트 게이트,진관동,100-3,24.91,,12000,18,22,17,2013,갱신,26.09~28.09,12000.0,15.0,사용,,
은평구,11380,응암동,202608,오피스텔_전월세,CJ드림시티,응암동,91-8,23.04,,1000,60,14,13,2004,신규,26.09~27.09,,,,,
은평구,11380,불광동,202608,오피스텔_전월세,(281-139),불광동,281-139,20.37,,1000,47,3,8,2002,신규,26.08~27.12,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운솔하임,진관동,60,18.72,,1000,67,4,15,2017,신규,26.10~27.10,,,,,
은평구,11380,녹번동,202608,오피스텔_전월세,타미라피네,녹번동,144-49,47.03,,25000,20,4,10,2019,갱신,26.09~28.09,25000.0,15.0,사용,,
은평구,11380,진관동,202608,오피스텔_전월세,은평헤스티아 2차,진관동,100-1,26.23,,11000,13,4,20,,신규,26.10~28.10,,,,,
은평구,11380,대조동,202608,오피스텔_전월세,연신엘피스,대조동,186-3,16.71,,1000,71,13,5,2019,신규,26.08~27.08,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,메이플카운티2차,진관동,100-6,22.78,,3000,54,7,20,2015,신규,26.09~27.09,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,아이파크 포레스트 게이트,진관동,100-3,24.91,,1000,68,12,19,2013,신규,26.08~27.08,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,웅신 미켈란의 아침,진관동,73,19.06,,500,66,7,7,2017,신규,26.08~27.08,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운 꿈에그린,진관동,66,19.84,,2000,60,14,19,2018,신규,26.09~27.09,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,아이파크 포레스트 게이트,진관동,100-3,24.91,,11000,7,2,15,2013,신규,26.09~28.09,,,,,
은평구,11380,대조동,202608,오피스텔_전월세,연신엘피스,대조동,186-3,16.71,,1000,67,7,12,2019,신규,26.09~27.09,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평헤스티아,진관동,100,26.23,,500,65,5,7,2015,갱신,26.08~28.08,500.0,62.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평헤스티아 2차,진관동,100-1,23.19,,1000,63,4,19,,신규,26.10~27.10,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,메이플카운티,진관동,100-5,24.17,,3000,37,7,19,2014,갱신,26.10~28.10,3000.0,35.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,메이플카운티,진관동,100-5,24.84,,1000,60,8,3,2014,신규,26.08~27.08,,,,,
은평구,11380,응암동,202608,오피스텔_전월세,첼라 넥스빌,응암동,84-27,22.42,,1000,75,6,18,2011,신규,26.09~28.09,,,,,
은평구,11380,응암동,202608,오피스텔_전월세,CJ드림시티,응암동,91-8,20.28,,5000,40,12,8,2004,신규,26.09~28.09,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운 꿈에그린,진관동,66,19.84,,1000,65,2,14,2018,신규,26.09~27.09,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평헤스티아,진관동,100,26.23,,1000,70,11,18,2015,신규,26.09~27.09,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,메이플카운티,진관동,100-5,24.17,,3000,43,2,18,2014,갱신,26.10~28.10,3000.0,42.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,웅신 미켈란의 아침,진관동,73,19.06,,500,55,5,13,2017,갱신,26.08~27.08,500.0,52.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,어드벤스힐 오피스텔,진관동,100-4,29.79,,1000,71,6,15,2013,갱신,26.09~27.09,1000.0,71.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,웅신 미켈란의 아침,진관동,73,19.06,,1000,65,16,17,2017,갱신,26.09~27.09,1000.0,63.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,어드벤스힐 오피스텔,진관동,100-4,29.79,,1000,72,8,15,2013,신규,26.09~27.09,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운 꿈에그린,진관동,66,19.84,,5000,47,2,12,2018,갱신,26.08~27.08,5000.0,45.0,,,
은평구,11380,대조동,202608,오피스텔_전월세,동양 오피스텔,대조동,197-5,30.1,,1000,50,3,8,2005,신규,26.08~27.08,,,,,
은평구,11380,응암동,202608,오피스텔_전월세,대신오피스텔,응암동,366-4,28.18,,1000,56,5,12,2004,신규,26.08~28.08,,,,,
은평구,11380,신사동,202608,오피스텔_전월세,은평자이더스타,신사동,19-100,84.96,,60000,0,1,15,2026,신규,26.10~28.10,,,,,
은평구,11380,녹번동,202608,오피스텔_전월세,녹번동오피스텔,녹번동,35-75,35.42,,1000,60,8,14,2001,갱신,26.08~28.08,1000.0,55.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운솔하임,진관동,60,18.72,,15000,0,7,14,2017,갱신,26.09~27.05,15000.0,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운솔하임,진관동,60,18.72,,2000,60,11,9,2017,신규,26.08~27.08,,,,,
은평구,11380,갈현동,202608,오피스텔_전월세,씨케이  리츠빌,갈현동,456-14,20.7,,1000,41,2,12,2003,신규,26.08~28.08,,,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운솔하임,진관동,60,18.72,,1000,69,8,13,2017,갱신,26.08~27.08,1000.0,66.0,,,
은평구,11380,진관동,202608,오피스텔_전월세,은평뉴타운 신한 헤센스마트,진관동,100-2,20.04,,9300,15,13,12,2017,신규,26.09~27.09,,,,,
은평구,11380,대조동,202608,오피스텔_전월세,엠케이뷰오피스텔,대조동,15-127,15.95,,17800,4,12,14,2020,갱신,26.09~28.09,17800.0,,,,
