gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
마포구,11440,상암동,202608,오피스텔_전월세,상암 한화 오벨리스크,상암동,1734,20.59,,500,70,6,21,2013,신규,26.09~27.09,,,,,
마포구,11440,성산동,202608,오피스텔_전월세,샬롬 오피스텔,성산동,278-8,18.9,,8000,0,4,19,2003,신규,26.09~28.09,,,,,
마포구,11440,공덕동,202608,오피스텔_전월세,공덕푸르지오시티,공덕동,475,34.39,,1000,105,5,13,2013,신규,26.08~28.08,,,,,
마포구,11440,성산동,202608,오피스텔_전월세,상암 우남퍼스트빌스타,성산동,592-5,16.91,,1000,80,3,20,2017,신규,26.08~27.08,,,,,
마포구,11440,성산동,202608,오피스텔_전월세,상암미르웰한올림,성산동,593-5,16.36,,5000,60,7,7,2018,신규,26.08~28.08,,,,,
마포구,11440,공덕동,202608,오피스텔_전월세,마포현대하이엘,공덕동,463,31.38,,19800,0,19,21,2005,신규,26.09~28.08,,,,,
마포구,11440,신공덕동,202608,오피스텔_전월세,갑을명가시티1,신공덕동,5-75,19.73,,1000,75,9,21,,갱신,26.08~27.08,2000.0,58.0,,,
마포구,11440,공덕동,202608,오피스텔_전월세,공덕푸르지오시티,공덕동,475,31.28,,5000,90,3,13,2013,신규,26.08~27.08,,,,,
마포구,11440,상암동,202608,오피스텔_전월세,상암 한화 오벨리스크,상암동,1734,19.93,,5000,43,7,20,2013,신규,26.09~27.09,,,,,
마포구,11440,상암동,202608,오피스텔_전월세,DMC 이안상암1단지,상암동,1654,93.09,,3000,240,24,13,2007,신규,26.09~28.09,,,,,
마포구,11440,성산동,202608,오피스텔_전월세,상암미르웰한올림,성산동,593-5,16.36,,13500,26,9,20,2018,신규,26.09~28.09,,,,,
마포구,11440,아현동,202608,오피스텔_전월세,고려아카데미텔,아현동,437-3,19.6,,3000,36,16,5,1987,신규,26.09~27.09,,,,,
마포구,11440,공덕동,202608,오피스텔_전월세,벨로하우스 공덕,공덕동,111-201,36.81,,28400,0,6,21,2019,신규,26.09~28.09,,,,,
마포구,11440,상암동,202608,오피스텔_전월세,사보이시티디엠씨,상암동,1597,21.65,,12500,15,4,21,2016,신규,26.09~28.09,,,,,
마포구,11440,성산동,202608,오피스텔_전월세,상암 우남퍼스트빌스타,성산동,592-5,16.91,,1000,76,6,20,2017,갱신,26.10~27.10,1000.0,73.0,,,
마포구,11440,성산동,202608,오피스텔_전월세,마포상암시티프라디움리버,성산동,593-7,25.12,,30000,0,12,15,2021,신규,26.10~28.10,,,,,
