gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
양천구,11470,목동,202608,오피스텔_전월세,파크아리온,목동,607-22,35.84,,13000,43,2,11,2018,,,,,,,
양천구,11470,목동,202608,오피스텔_전월세,목동파라곤,목동,917,95.24,,30000,257,10,20,2004,갱신,26.08~28.08,30000.0,240.0,사용,,
양천구,11470,목동,202608,오피스텔_전월세,목동 트라움시티,목동,621-5,27.96,,27070,9,6,21,2020,신규,26.10~28.10,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,(903-27),신정동,903-27,19.52,,300,63,6,10,2012,신규,26.08~27.08,,,,,
양천구,11470,신월동,202608,오피스텔_전월세,로빈시그니쳐,신월동,474-12,29.93,,18000,0,9,20,2020,신규,26.10~28.10,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,목동 이스타빌,신정동,323-9,37.6,,1000,79,11,8,2003,신규,26.09~27.09,,,,,
양천구,11470,목동,202608,오피스텔_전월세,목동파라곤,목동,917,82.69,,50000,160,16,16,2004,신규,26.11~28.11,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,클레버 타워,신정동,944-3,29.4,,2000,65,3,19,2003,신규,26.09~28.09,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,목동2차아크로텔,신정동,324,92.51,,65000,0,2,19,2004,신규,26.11~28.11,,,,,
양천구,11470,신월동,202608,오피스텔_전월세,한울스위트하우스,신월동,474-10,23.18,,11990,14,6,17,2015,갱신,26.09~28.09,12200.0,11.0,,,
양천구,11470,목동,202608,오피스텔_전월세,목동대우마이빌,목동,603-2,31.53,,2500,45,10,3,2003,신규,26.08~28.08,,,,,
양천구,11470,목동,202608,오피스텔_전월세,동양오피스텔,목동,791-17,18.24,,9300,0,2,8,2016,신규,26.10~28.10,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,제이월드빌,신정동,318-17,102.99,,90000,0,6,13,2004,갱신,26.09~28.09,86000.0,,사용,,
양천구,11470,목동,202608,오피스텔_전월세,엠펠리체,목동,713-14,38.11,,20270,0,3,7,,갱신,26.08~28.08,19670.0,,사용,,
양천구,11470,신월동,202608,오피스텔_전월세,(52-13),신월동,52-13,21.51,,17000,0,6,6,2022,신규,26.09~28.09,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,동문비젼오피스텔,신정동,318-6,41.4,,1000,70,13,13,1999,신규,26.08~27.08,,,,,
양천구,11470,목동,202608,오피스텔_전월세,목동파라곤,목동,917,95.24,,114000,0,10,14,2004,신규,26.11~28.11,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,목동 이스타빌,신정동,323-9,79.8,,52000,0,9,12,2003,갱신,26.09~28.09,40000.0,45.0,,,
양천구,11470,목동,202608,오피스텔_전월세,어바니엘,목동,514-18,18.85,,1000,84,12,10,2018,갱신,26.09~27.09,1000.0,82.0,,,
양천구,11470,목동,202608,오피스텔_전월세,하이베라스,목동,908-29,37.01,,1000,70,4,13,2003,갱신,26.12~28.02,1000.0,60.0,,,
양천구,11470,목동,202608,오피스텔_전월세,목동 현대 하이페리온2,목동,961,94.57,,110000,0,36,10,2006,신규,26.08~27.08,,,,,
양천구,11470,신월동,202608,오피스텔_전월세,큐브7,신월동,81-16,33.08,,26800,0,4,7,2024,신규,26.09~28.09,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,신정동대우미래사랑5차,신정동,1290-4,101.64,,45000,50,6,8,2004,갱신,26.08~28.08,45000.0,30.0,,,
양천구,11470,목동,202608,오피스텔_전월세,현대41타워,목동,917-9,48.67,,500,165,8,6,2001,신규,26.08~26.12,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,더넥스트 목동,신정동,982-4,17.28,,5000,72,10,8,2021,신규,26.08~27.08,,,,,
양천구,11470,목동,202608,오피스텔_전월세,목동파라곤,목동,917,70.68,,61400,0,5,7,2004,갱신,26.09~28.09,58500.0,,사용,,
양천구,11470,신정동,202608,오피스텔_전월세,목동대림아크로텔,신정동,318-1,45.69,,4000,109,6,10,2004,갱신,26.09~28.09,4000.0,104.0,사용,,
양천구,11470,목동,202608,오피스텔_전월세,목동팰리스오피스텔,목동,607-1,18.39,,12000,2,6,4,2010,신규,26.09~28.08,,,,,
양천구,11470,신월동,202608,오피스텔_전월세,웰스바움,신월동,92-2,32.35,,25600,0,11,8,2022,신규,26.08~28.08,,,,,
양천구,11470,목동,202608,오피스텔_전월세,목동 트라움시티,목동,621-5,27.96,,27600,0,11,9,2020,신규,26.08~28.08,,,,,
양천구,11470,목동,202608,오피스텔_전월세,향도 드림네스트,목동,909-4,26,,1000,75,4,6,2004,신규,26.10~27.10,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,큐오피스텔,신정동,949-2,17.69,,1000,72,8,7,2022,신규,26.08~27.08,,,,,
양천구,11470,목동,202608,오피스텔_전월세,하이베라스,목동,908-29,35.39,,1000,75,10,6,2003,신규,26.08~27.08,,,,,
양천구,11470,목동,202608,오피스텔_전월세,엠펠리체,목동,713-14,38.11,,20261,0,3,7,,갱신,26.08~28.08,19661.0,,사용,,
양천구,11470,신정동,202608,오피스텔_전월세,퀸즈 포디엄,신정동,972-6,17.75,,18000,0,9,7,2020,갱신,26.08~26.11,18000.0,,,,
양천구,11470,목동,202608,오피스텔_전월세,목동블루오피스텔,목동,905-28,27.81,,23000,0,4,5,2022,신규,26.10~28.10,,,,,
양천구,11470,신월동,202608,오피스텔_전월세,에이엔타워,신월동,145-6,44.69,,3500,95,3,6,2020,신규,26.09~28.09,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,목동 이스타빌,신정동,323-9,73.87,,58000,0,8,6,2003,신규,26.08~27.02,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,마음의도시,신정동,973-2,28.13,,24500,0,8,5,2021,신규,26.10~28.10,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,큐오피스텔,신정동,949-2,17.22,,1000,80,5,4,2022,신규,26.08~28.08,,,,,
양천구,11470,신정동,202608,오피스텔_전월세,문화트윈타워,신정동,971-1,16.45,,12000,10,5,4,2018,신규,26.09~28.09,,,,,
양천구,11470,목동,202608,연립다세대_전월세,선호힐,목동,315-65,27.06,,15200,26,2,21,2017,갱신,26.09~28.02,15200.0,26.0,,,
양천구,11470,신월동,202608,연립다세대_전월세,동원7차다동,신월동,143-24,38.4,,12000,0,1,19,1986,갱신,26.09~28.09,10575.0,,,,
양천구,11470,신월동,202608,연립다세대_전월세,비전하우스,신월동,135-16,19.61,,4953,4,4,21,2021,갱신,26.09~28.08,1905.0,20.0,,,
양천구,11470,신정동,202608,연립다세대_전월세,두양빌라다동,신정동,892-16,36.51,,1000,75,-1,5,1986,신규,26.08~28.08,,,,,
