gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
강서구,11500,화곡동,202608,오피스텔_전월세,강서 동도센트리움,화곡동,1161,18.97,,5000,30,16,18,2012,,,,,,,
강서구,11500,등촌동,202608,오피스텔_전월세,투웨니퍼스트1차,등촌동,634-10,29.74,,19500,30,11,3,,,,,,,,
강서구,11500,등촌동,202608,오피스텔_전월세,우림보보카운티뷰,등촌동,649-14,25.17,,1000,55,11,17,2004,신규,26.08~27.08,,,,,
강서구,11500,마곡동,202608,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,22.2,,1000,85,14,21,2017,갱신,26.09~27.09,1000.0,83.0,,,
강서구,11500,화곡동,202608,오피스텔_전월세,루체비스타,화곡동,897-2,32.66,,18100,0,2,20,2017,신규,26.10~28.10,,,,,
강서구,11500,화곡동,202608,오피스텔_전월세,더라인,화곡동,934-1,19.92,,20000,13,8,20,2026,신규,26.09~28.09,,,,,
강서구,11500,마곡동,202608,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,22.17,,1000,73,4,17,2017,갱신,26.08~27.08,1000.0,70.0,,,
강서구,11500,마곡동,202608,오피스텔_전월세,엠코지니어스타,마곡동,776-4,23.84,,15600,15,10,20,2015,신규,26.10~28.10,,,,,
강서구,11500,등촌동,202608,오피스텔_전월세,더 퍼스트 가양,등촌동,639-6,28.08,,29500,0,2,21,2023,갱신,26.09~27.09,29500.0,,,,
강서구,11500,등촌동,202608,오피스텔_전월세,등촌투웨니퍼스트2차,등촌동,633-17,29.68,,20000,10,6,20,2016,갱신,26.10~28.10,22000.0,10.0,사용,,
강서구,11500,마곡동,202608,오피스텔_전월세,엠코지니어스타,마곡동,776-4,23.84,,10000,37,10,14,2015,신규,26.10~27.10,,,,,
강서구,11500,염창동,202608,오피스텔_전월세,한빛어반뉴스토리,염창동,266-12,28.69,,21000,22,6,17,2018,갱신,26.08~28.08,21000.0,20.0,사용,,
강서구,11500,화곡동,202608,오피스텔_전월세,경동엠파이어스테이트,화곡동,1111-3,18.61,,1000,50,12,21,2012,신규,26.10~27.10,,,,,
강서구,11500,화곡동,202608,오피스텔_전월세,리치A110,화곡동,938-11,22.92,,21600,15,13,21,2026,신규,26.10~28.10,,,,,
강서구,11500,화곡동,202608,오피스텔_전월세,리치아파트 109동,화곡동,921-15,22.05,,12000,50,11,5,2024,신규,26.09~28.09,,,,,
강서구,11500,화곡동,202608,오피스텔_전월세,SJ라벨라,화곡동,1111,22.35,,19000,0,12,21,2020,신규,26.09~28.09,,,,,
강서구,11500,마곡동,202608,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,22.2,,1000,87,4,21,2017,갱신,26.10~27.10,1000.0,85.0,,,
