gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
구로구,11530,구로동,202608,오피스텔_전월세,SK 허브수,구로동,650-4,37.53,,8000,62,8,18,2005,신규,26.12~28.12,,,,,
구로구,11530,오류동,202608,오피스텔_전월세,마크포레스트,오류동,10-11,28.58,,500,95,4,7,2022,신규,26.08~27.08,,,,,
구로구,11530,오류동,202608,오피스텔_전월세,칸타빌레5차,오류동,59-20,21.47,,5000,50,17,7,2019,신규,26.08~27.08,,,,,
구로구,11530,구로동,202608,오피스텔_전월세,신도림포스빌,구로동,26,24.15,,1000,70,16,20,2004,신규,26.08~28.08,,,,,
구로구,11530,오류동,202608,오피스텔_전월세,삼백리치빌,오류동,73-6,68.52,,5000,110,8,21,2004,신규,26.10~28.10,,,,,
구로구,11530,구로동,202608,오피스텔_전월세,비즈트위트 오렌지,구로동,44-8,17.81,,1000,55,7,7,2013,신규,26.08~27.08,,,,,
구로구,11530,구로동,202608,오피스텔_전월세,종인아네스트,구로동,110,19.47,,4000,35,5,20,2012,신규,26.08~27.08,,,,,
구로구,11530,오류동,202608,오피스텔_전월세,센텀포레스트,오류동,35-1,39.52,,5500,110,6,8,,신규,26.08~28.08,,,,,
구로구,11530,구로동,202608,오피스텔_전월세,비즈트위트 블루,구로동,107-4,19.85,,10500,5,13,20,2012,신규,26.09~28.09,,,,,
구로구,11530,구로동,202608,오피스텔_전월세,대림역포스큐,구로동,106-2,19.02,,200,60,3,3,2015,신규,26.08~26.12,,,,,
구로구,11530,고척동,202608,오피스텔_전월세,대림리더스오피스텔,고척동,76-183,17.67,,1000,60,8,20,2014,신규,26.08~27.08,,,,,
구로구,11530,신도림동,202608,오피스텔_전월세,신도림1차푸르지오,신도림동,337,86.79,,11000,165,27,14,2007,갱신,26.09~28.09,9000.0,165.0,,,
구로구,11530,구로동,202608,오피스텔_전월세,비즈트위트 오렌지,구로동,44-8,35.48,,20000,15,15,20,2013,신규,26.10~28.09,,,,,
구로구,11530,구로동,202608,오피스텔_전월세,비즈트위트 레인보우,구로동,44-5,19.02,,9900,20,10,15,2012,신규,26.09~28.09,,,,,
