gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
영등포구,11560,양평동3가,202608,오피스텔_전월세,에버하임,양평동3가,56,31.68,,33500,0,5,21,2021,신규,26.11~28.11,,,,,
영등포구,11560,영등포동3가,202608,오피스텔_전월세,제이캐슬,영등포동3가,16-1,22.68,,14000,30,4,20,2023,신규,26.09~28.09,,,,,
영등포구,11560,양평동2가,202608,오피스텔_전월세,힘멜하임,양평동2가,1-3,18.84,,1000,80,9,14,2014,신규,26.08~27.08,,,,,
영등포구,11560,양평동5가,202608,오피스텔_전월세,큐브스테이트,양평동5가,22-1,28.54,,26000,0,2,21,2018,신규,26.09~28.09,,,,,
영등포구,11560,신길동,202608,오피스텔_전월세,한울빌딩,신길동,160-37,51.24,,3000,125,4,7,2021,신규,26.09~27.09,,,,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,경문빌딩,영등포동2가,29-94,14.24,,800,65,8,21,2014,신규,26.08~27.08,,,,,
영등포구,11560,당산동1가,202608,오피스텔_전월세,나비드,당산동1가,185-9,29.95,,33000,0,2,19,2023,신규,26.09~28.09,,,,,
영등포구,11560,영등포동4가,202608,오피스텔_전월세,영등포 센트럴 푸르지오 시티,영등포동4가,443,29.75,,5000,80,21,21,2013,신규,26.08~27.08,,,,,
영등포구,11560,여의도동,202608,오피스텔_전월세,더하우스 소호 여의도 오피스텔,여의도동,17-9,23.63,,2000,110,4,21,2017,신규,26.10~27.10,,,,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,영등포 오피스텔,영등포동2가,29-58,18.72,,11000,0,6,21,2014,갱신,26.08~28.08,11000.0,,,,
영등포구,11560,도림동,202608,오피스텔_전월세,쌍용플래티넘시티1단지,도림동,820,62.42,,48000,0,3,8,2006,신규,26.11~28.11,,,,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,여의도 해링턴타워 196,영등포동2가,175,18.1,,3000,80,12,20,2022,신규,26.09~27.09,,,,,
영등포구,11560,영등포동7가,202608,오피스텔_전월세,은석오피스텔,영등포동7가,94-57,19.38,,1000,60,5,19,2010,신규,26.08~27.08,,,,,
영등포구,11560,양평동2가,202608,오피스텔_전월세,신동아하이팰리스,양평동2가,1-1,97.11,,60000,0,10,21,2005,신규,26.08~26.10,,,,,
영등포구,11560,당산동1가,202608,오피스텔_전월세,나비드,당산동1가,185-9,29.95,,33000,0,4,21,2023,신규,26.09~28.09,,,,,
영등포구,11560,당산동,202608,오피스텔_전월세,노들리안 오피스텔1,당산동,121-141,29.16,,15000,3,10,20,2011,신규,26.09~28.09,,,,,
영등포구,11560,당산동5가,202608,오피스텔_전월세,당산 삼성쉐르빌,당산동5가,9-2,24.12,,16400,30,7,11,2013,신규,26.08~28.08,,,,,
영등포구,11560,영등포동7가,202608,오피스텔_전월세,포레비떼,영등포동7가,29-126,26.54,,10321,0,2,18,2003,갱신,26.09~28.09,9830.0,,사용,,
영등포구,11560,여의도동,202608,오피스텔_전월세,시그니티 여의도,여의도동,10-3,47.79,,54000,0,3,20,2023,신규,26.09~28.09,,,,,
영등포구,11560,문래동5가,202608,오피스텔_전월세,금강 노블레스,문래동5가,5-3,32.11,,5000,111,6,18,2022,신규,26.08~27.08,,,,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,한가람 더원 301동,영등포동2가,94-204,51.15,,5000,190,7,14,2022,신규,26.09~28.12,,,,,
영등포구,11560,당산동5가,202608,오피스텔_전월세,당산역해링턴타워,당산동5가,9-3,23.92,,1000,83,17,14,2015,신규,26.08~27.08,,,,,
영등포구,11560,양평동4가,202608,오피스텔_전월세,구산드림타워,양평동4가,22-1,86.84,,35000,48,7,19,2007,갱신,26.11~28.11,35000.0,40.0,사용,,
영등포구,11560,당산동,202608,오피스텔_전월세,한산 오피스텔,당산동,121-44,21.76,,1000,48,12,8,2010,신규,26.08~27.08,,,,,
영등포구,11560,영등포동1가,202608,오피스텔_전월세,여의도 노블루체91,영등포동1가,110-6,21.98,,21600,20,4,20,2021,신규,26.10~28.10,,,,,
영등포구,11560,양평동1가,202608,오피스텔_전월세,(208-1),양평동1가,208-1,29.84,,3980,18,3,20,2021,갱신,26.09~28.08,2532.0,26.0,,,
영등포구,11560,당산동,202608,오피스텔_전월세,조인클로버,당산동,121-143,23.85,,20000,0,14,20,2019,신규,26.09~28.09,,,,,
영등포구,11560,당산동,202608,오피스텔_전월세,여의도 아리스타,당산동,121-61,19.93,,16300,30,7,20,2021,신규,26.09~28.09,,,,,
영등포구,11560,양평동2가,202608,오피스텔_전월세,신동아하이팰리스,양평동2가,1-1,72.13,,36500,0,7,20,2005,신규,26.11~28.11,,,,,
영등포구,11560,당산동,202608,오피스텔_전월세,여의도 아리스타,당산동,121-61,19.93,,16000,20,2,20,2021,신규,26.09~28.09,,,,,
영등포구,11560,당산동,202608,오피스텔_전월세,오피디움,당산동,121-261,26.4,,27700,0,4,20,2019,신규,26.10~28.09,,,,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,지뗌,영등포동2가,333,29.93,,1000,80,8,20,2004,신규,26.08~28.08,,,,,
영등포구,11560,영등포동7가,202608,오피스텔_전월세,미진오피스텔,영등포동7가,94-50,23.36,,3000,55,7,1,2019,신규,26.08~27.08,,,,,
영등포구,11560,영등포동7가,202608,오피스텔_전월세,루브르씨티,영등포동7가,94-52,26.74,,24000,0,4,6,2019,갱신,26.10~28.10,24000.0,,사용,,
영등포구,11560,영등포동8가,202608,오피스텔_전월세,메이준,영등포동8가,51-1,17.44,,500,60,2,1,2012,신규,26.08~27.08,,,,,
영등포구,11560,여의도동,202608,오피스텔_전월세,브라이튼 여의도,여의도동,525,29.87,,51000,0,10,20,2023,갱신,26.10~28.10,50000.0,,사용,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,여의도 디앤써밋,영등포동2가,94-154,20.74,,1000,73,2,5,2019,신규,26.08~27.08,,,,,
영등포구,11560,영등포동8가,202608,오피스텔_전월세,당산역 리버리치 오피스텔,영등포동8가,86,39.98,,5000,150,9,20,2016,신규,26.09~28.09,,,,,
영등포구,11560,영등포동6가,202608,오피스텔_전월세,윤성타워텔,영등포동6가,67-1,30.2,,10500,0,6,12,1998,갱신,26.09~28.09,10000.0,,,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,(94-259),영등포동2가,94-259,19.18,,17800,0,6,6,2020,갱신,26.08~28.08,18000.0,,,,
영등포구,11560,영등포동1가,202608,오피스텔_전월세,여의도더리브스타일,영등포동1가,94-2,19.36,,18450,14,6,9,2020,갱신,26.08~28.08,18450.0,10.0,사용,,
영등포구,11560,양평동6가,202608,오피스텔_전월세,엠케이유앤미,양평동6가,82-1,27.5,,31000,4,3,17,2020,갱신,26.09~28.09,30500.0,,,,
영등포구,11560,영등포동2가,202608,오피스텔_전월세,여의샛강 소미골드5차,영등포동2가,214,21.38,,20000,0,5,19,2022,신규,26.09~28.09,,,,,
