gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
관악구,11620,봉천동,202608,오피스텔_전월세,WD세븐스,봉천동,858-6,17.56,,10000,75,12,21,2020,신규,26.10~28.10,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,케이타워 오피스텔,봉천동,882-4,18.24,,1000,62,3,14,2010,신규,26.08~27.08,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,주건축물제1동,신림동,1435-28,15.75,,3000,90,2,15,2018,신규,26.09~28.09,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,K-VIEW TOWER,신림동,1639-37,24.08,,5000,95,13,19,2023,신규,26.08~27.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,관전 L 타워,봉천동,870-5,20.47,,3000,105,9,4,2026,신규,26.08~28.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,관전 L 타워,봉천동,870-5,20.47,,3000,105,9,4,2026,신규,26.08~28.08,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,(1421-11),신림동,1421-11,15.58,,1000,40,4,14,2002,신규,26.08~28.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,WD세븐스,봉천동,858-6,17.56,,10000,75,12,21,2020,신규,26.10~28.10,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,해주타워,봉천동,870-1,22,,500,60,6,21,2000,신규,26.08~28.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,(1718-4),봉천동,1718-4,23.96,,22000,0,4,20,2011,신규,26.11~28.11,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,엘리젠트오피스텔,신림동,94-208,32.4,,1000,70,4,14,2004,신규,26.08~27.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,관전 L 타워,봉천동,870-5,20.47,,2000,105,5,13,2026,신규,26.09~28.09,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,우정오피스텔,신림동,1425-1,18.49,,16000,14,4,17,2021,신규,26.09~28.09,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,봉천동오피스텔,봉천동,876-9,19.38,,8500,14,2,19,2000,신규,26.09~28.09,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,(896-25),봉천동,896-25,13.6,,3000,32,2,9,2003,신규,26.08~28.08,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,힐스토리,신림동,1639-38,18,,11500,13,6,20,2012,신규,26.09~28.09,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,대학캠퍼스텔,봉천동,1566-16,18.09,,3000,49,2,17,2001,신규,26.08~28.08,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,프라비다트라움,신림동,1433-55,17.16,,1000,55,7,1,2013,신규,26.08~28.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,관악맥스텔,봉천동,866-11,25.82,,11250,25,2,19,2003,갱신,26.10~28.10,11250.0,15.0,,,
관악구,11620,봉천동,202608,오피스텔_전월세,하우피스오피스텔,봉천동,725-4,27.38,,1000,65,4,11,2003,신규,26.08~27.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,PRAVIDA 162,봉천동,1568-2,19.82,,1000,85,5,7,2013,신규,26.08~27.08,,,,,
관악구,11620,신림동,202608,오피스텔_전월세,드림타운,신림동,613-1,36.73,,25100,0,3,19,2020,갱신,26.09~28.09,25100.0,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,(874-19),봉천동,874-19,15.84,,200,60,7,7,2004,신규,26.08~27.01,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,황룡오피스텔,봉천동,44-7,15.3,,500,36,2,2,2004,신규,26.08~28.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,봉대오피스텔,봉천동,881-31,16.5,,500,47,7,1,2002,신규,26.08~27.08,,,,,
관악구,11620,남현동,202608,오피스텔_전월세,(1061-18),남현동,1061-18,27.95,,1000,75,6,1,2005,갱신,26.08~27.08,1000.0,65.0,,,
관악구,11620,신림동,202608,오피스텔_전월세,(1427-8),신림동,1427-8,13.8,,500,46,5,15,2001,신규,26.08~28.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,양지 하이슈타트,봉천동,851-6,24.92,,20000,40,11,19,2025,신규,26.09~28.09,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,(1563-8),봉천동,1563-8,33.85,,12700,35,4,12,2001,신규,26.09~28.09,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,창성타워,봉천동,896-31,14.96,,1000,105,8,16,2019,신규,26.08~27.08,,,,,
관악구,11620,봉천동,202608,오피스텔_전월세,봉천동 오피스텔,봉천동,701-8,28.65,,13000,0,4,18,2002,신규,26.10~28.09,,,,,
