gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
서초구,11650,서초동,202608,오피스텔_전월세,(1515-3),서초동,1515-3,32.4,,1000,100,7,21,2003,신규,26.09~27.09,,,,,
서초구,11650,서초동,202608,오피스텔_전월세,서초프라비다,서초동,1598-9,14.48,,500,80,2,21,2014,신규,26.08~26.10,,,,,
서초구,11650,서초동,202608,오피스텔_전월세,에피소드 강남 262,서초동,1339-9,28.95,,1000,245,6,21,2021,신규,26.08~26.12,,,,,
서초구,11650,서초동,202608,오피스텔_전월세,서초센트럴IPARK,서초동,1582-3,50.33,,64000,0,20,21,2020,갱신,26.10~28.10,61000.0,,,,
서초구,11650,방배동,202608,오피스텔_전월세,반포스테이2차,방배동,751-9,23.09,,31000,0,6,13,2019,갱신,26.09~28.09,30000.0,,,,
서초구,11650,신원동,202608,오피스텔_전월세,자연누리 오피스텔,신원동,662,21.39,,1500,80,2,20,2015,신규,26.09~27.09,,,,,
서초구,11650,서초동,202608,오피스텔_전월세,서초어반하이 오피스텔,서초동,1601-10,19.3,,3000,81,9,20,2018,신규,26.10~27.10,,,,,
서초구,11650,서초동,202608,오피스텔_전월세,청화오피스텔,서초동,1339-7,19.27,,1050,105,14,20,,신규,26.08~27.08,,,,,
서초구,11650,신원동,202608,오피스텔_전월세,심플리시티,신원동,660,28.63,,1000,90,2,12,2018,신규,26.10~27.10,,,,,
서초구,11650,신원동,202608,오피스텔_전월세,심플리시티,신원동,660,23.04,,1000,69,4,7,2018,신규,26.08~27.08,,,,,
서초구,11650,양재동,202608,오피스텔_전월세,트윈타워,양재동,275-3,24.07,,500,60,7,6,1991,신규,26.08~27.08,,,,,
서초구,11650,서초동,202608,오피스텔_전월세,(1589-7),서초동,1589-7,28.22,,500,55,5,15,1992,갱신,26.09~28.09,500.0,50.0,,,
서초구,11650,서초동,202608,오피스텔_전월세,서초어반하이 오피스텔,서초동,1601-10,19.3,,2000,85,15,19,2018,신규,26.09~27.09,,,,,
서초구,11650,방배동,202608,오피스텔_전월세,방배 노블루체 서리풀,방배동,426-1,29.98,,36800,0,6,15,2020,갱신,26.09~28.09,36800.0,,사용,,
서초구,11650,서초동,202608,오피스텔_전월세,강남역리가스퀘어,서초동,1308-26,29.59,,1000,100,10,3,2012,신규,26.08~27.08,,,,,
