gu_name,lawd_cd,region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
강동구,11740,천호동,202608,오피스텔_전월세,강동 중흥S-클래스,천호동,580,36.3,,29000,0,35,18,2024,,,,,,,
강동구,11740,천호동,202608,오피스텔_전월세,강동 중흥S-클래스,천호동,580,36.3,,29000,0,35,17,2024,,,,,,,
강동구,11740,길동,202608,오피스텔_전월세,한미스카이캐슬,길동,413-8,16.5,,300,89,4,19,2016,신규,26.08~26.11,,,,,
강동구,11740,천호동,202608,오피스텔_전월세,정암하이빌,천호동,161-17,23.12,,10700,0,4,17,2003,갱신,26.09~28.09,10600.0,,,,
강동구,11740,성내동,202608,오피스텔_전월세,장원오피스텔,성내동,81-12,29.8,,17000,7,7,14,2017,신규,26.08~28.08,,,,,
강동구,11740,천호동,202608,오피스텔_전월세,다성이즈빌,천호동,163-5,21.02,,15500,5,2,13,2018,갱신,26.09~28.09,16100.0,,사용,,
강동구,11740,길동,202608,오피스텔_전월세,골드클래스,길동,414-5,22.51,,5000,50,4,13,2022,신규,26.08~27.08,,,,,
강동구,11740,길동,202608,오피스텔_전월세,솔목오피스텔,길동,416-4,30.57,,1000,50,3,12,2002,신규,26.08~27.08,,,,,
강동구,11740,길동,202608,오피스텔_전월세,COR BAUM,길동,344-9,19.1,,2000,80,3,2,2026,신규,26.08~28.08,,,,,
강동구,11740,천호동,202608,오피스텔_전월세,쌍용플래티넘리버,천호동,432-10,33.45,,1000,90,10,18,2004,신규,26.09~28.09,,,,,
강동구,11740,강일동,202608,오피스텔_전월세,트리피움오피스텔,강일동,677-3,15.91,,1000,45,7,1,,신규,26.08~27.08,,,,,
강동구,11740,천호동,202608,오피스텔_전월세,강동 중흥S-클래스,천호동,580,37.9,,43000,0,33,19,2024,신규,26.10~28.10,,,,,
